,Texto,Polaridad
3324,empezamos en diez minutoshoy con carme chacón,NONE
3325,buenos días,NONE
3326,la reforma educativa no estará en marcha el próximo curso #wertenlaser,NONE
3327,camino de lisboa encuentro con embajador español reunión con empresarios de portugal y españa promoción de extremadura,NONE
3328,el ministro @jiwert se traga las mentiras sobre educación para la ciudadanía no salgo de mi asombro xurlx,N
3329,federico trillo será nombrado embajador de españa en eeuu,NONE
3330,comienza la comparecencia del ministro en la comisión de agricultura pesca y medio ambiente,N
3331,cuando vi el xnumx-m pensé qué hacen estos hijos de socialistas aquí y no en nuestras asambleas - abces xurlx via @abc_es,NEU
3332,servicial hasta la muerte servil ni en la muerte bravo leo farache #comercialesdepublicidad,P+
3333,rt @davidgerboles rivera recuerda a rajoy que el pp prometió ajustar las leyes tras la sentencia sobre el estatuto | xurlx,NONE
3334,no es el escenario de una película bélica es el cementerio de la almudena un espacio que necesita protección xurlx,N
3335,buenos días twitteros lo mas importante en la vida es acostarte y levantarte con la conciencia tranquila y nunca dejéis q os machaque nadie,P+
3336,el esperpento xurlx,N
3337,para despolitizar las cajas el pp puso a rato en bankia para despolitizar las embajadas pondrá a trillo en eeuu cosas de la política,N
3338,dice alex que muchas gracias por vuestras bienvenidas;-),P+
3339,roo un gran concepto de manos de luis gómez de iberdrola #comercialesdepublicidad,P+
3340,@albertocogorro @david_busta suerte por leon trae un poco de cecina jejee un abrazo tiootro amigo;-),P+
3341,y mientras @javierarenas_pp ha presentado al dia de hoy xnumx propuestas de gobierno #griñan ha presentado xnumx #elcambioandaluz,NEU
3342,medio obligado pero ahí esta el fenómeno xurlx,P
3343,que la acción no es merecedora de tarjeta se mantenga la sanción son cosas que solo pasan aquí que le vamos hacer,N
3344,nuestro grupo quiere acercar más la actividad parlamentaria a los ciudadanos y que nuestros diputados se reúnan más con ellos,P
3345,ha destruido el @psoe el futuro de una generación entera d españoles editorial xnumx @xnumxtv_aldia @xnumxtelevision,N+
3346,merece leerse intervencion presidente parlamento europeo schulz s european council xurlx,P
3347,mas ahora #griñan ha gastado xnumx e en una campaña propagandística andalucía xnumx que mueve al sonrojo por su contenido de autobombo,N+
3348,para amantes de documentos sonoros históricos grabación en el air force one tras asesinato kennedy xurlx,N
3349,rt @orellanaosorio @mdcospedal el gobierno d españa está haciendo todas las reformas q necesita nuestro país empezando por decir la verdad,P+
3350,la tela de araña socialista en andalucia parte xnumx xurlx,NONE
3351,@diegocruz_ aceras con esguince de tobillo garantizado cementerio de la almudena xurlx xurlx,N
3352,un historiador justifica la investigación judicial de #garzon era imposible investigar desapariciones de otra forma xurlx,N
3353,hoy en @horaxnumx otra pillada de rajoy vivo en un lío ha dicho y las declaraciones surrealistas de algunos de sus ministros,N
3354,hoy toca @tdtarde @xnumxtelevision y no me resisto a dedicar este temazo a todo el equipo xurlx,P
3355,una tribu peruana aislada establece contacto con el mundo moderno - abces xurlx via @abc_es,NEU
3356,recuentos y más recuentos en el psoe dos dirigentes diferentes creen hoy que ganará chacón con una ventaja cómoda de unos xnumx votos,P+
3357,escuchando a @juanma_moreno en @laventana @la_ser #nomelopierdo,NONE
3358,lo de la copia de la gioconda me deja asombrado cómo son de grandes los fondos del prado para que siglos después descubran estas cosas,N+
3359,los del movimiento #yonopago vuelven al ataque en el centro de madrid están liando una buena,N
3360,hoy en @xnumxtv_aldia entrevista a juan moscoso portavoz d la plataforma d apoyo a @_rubalcaba_ xnumx es posible la regeneración dl @psoe,P
3361,buscando en los fondos del museo del prado han encontrado una ley del aborto de fernando vii que no la vea gallardón que nos la aplica,N
3362,boda ante el notario hemos hablado con el presidente del consejo general del notariado @telediariointer xnumx:xnumx,NONE
3363,por cierto en un debate en @cextremadura disfruté con la profesionalidad de #indira y el equipo que tiene @beamaesso xurlx,P+
3364,no creo no rubalcaba estalla contra griñán por teléfono y amenaza con impugnarle - españa xurlx via @elconfidencial,N
3365,chiste botín dice que los políticos no han sabido manejar la crisis el pirómano se queja de la eficacia de los bomberos,N
3366,mas va pidiendo concierto económico buscando l diferencia y copiando privilegios mientras se esconde ante ls xnumxm tirados en #spanair,N+
3367,el nuevo plan hidrológico q ha presentado hoy arias cañete es una alegría por fin sentido común y agua solidaria en un país muy necesitado,P+
3368,ojoplática ante la denuncia delvpte de la diputación de almería sobre facturas intolerables de diputados del psoe incluido el tinte #gato,N+
3369,ya q @antoniornaranjo ataca con una rubia yo respondo con otra xurlx vía @youtube,N
3370,el último tuit del ministro @jiwert es del domingo cuando vuelva por aquí nos explicará lo del falso libro de texto de ciudadanía,N
3371,las excusas de wert cuanto más hablan en el ministerio de educación más mienten xurlx,N+
3372,creo que el valencia cf mereció ganar esta noche pero hay esperanza en el próximo partido en barcelona #creenlafinal,P
3373,#momentodormir mañana dia largo q comienza con @anarosaq a las xnumxam un montón de reformas analizar #byes,NONE
3374,hola esta es la portada de hoy jueves xnumx de febrero un saludo a todos xurlx,NONE
3375,ah rt @princesitasanz @alejandrosanz j carlos aragón,NONE
3376,fallece a los xnumx años la poetisa y premio nobel wislawa szymborska - públicoes xurlx,N
3377,saludos a los amigos a los adversarios a los independientes y hasta los trolls mañana a las xnumx para asturias si nos deja el hielo,NONE
3378,harvey no la soporta dice que no se puede hablar con ella que enseguida se lo toma todo como algo personal,N+
3379,obregon - arena itson venta de entradas en xurlx - cum venta de entradas en xurlx,NONE
3380,portada el país xurlx,NONE
3381,la tragedia del campo de fútbol egipcio es una prueba mas d adonde lleva el forofismo irracional y d confrontación no lo minusvaloremos,N+
3382,mato pide un informe sobre la prescripción de la pdd jiménez y aído no lo pidieron cuando decidieron por su cuenta que se diera sin receta,NONE
3383,méxico ha patentado la primera vacuna contra el consumo de heroína xurlx via @elmundoes,NEU
3384,el paro aumento en enero en xnumx personas,N+
3385,portada xnumx minutos - zaragoza xurlx,NONE
3386,en unos minutos el ministro de interior muchos temas interesantes para hablar con él,P+
3387,@pedroapaxnumx stoy en casa con fiebre perdón por desatinosmejórate aunque con el frío que hace mejor calentito en casa abrazos,NEU
3388,buenos dias a todos ayer hicimos un gran partido lastima que no pudieramos marcar mas goles de la ceja estoy bien xnumx puntos y adelante,P
3389,tiene guasa leer editoriales que hablan de inestabilidad sistema educativo por reforma pp cuando todas las leyes en xnumx años han sido psoe,N
3390,la ola de frío que nos afecta se produce aproximadamente una vez cada xnumx-xnumx años (aemet),N
3391,menéame (si quieres) las excusas de wert xurlx,N
3392,ya en @herreraenlaonda,NONE
3393,mirar que me he encontrado al llegar a la ciudad deportiva xurlx,P+
3394,pere navarro es el director de la dgt que más ha reducido el número de muertos en carretera no digo rajoy que gobernarían los mejores,N
3395,la escena más famosa de casablanca con #rubalcaba y #chacón obra genial de todo por la radio xurlx @psoe,P+
3396,ni la embajada de eeuu ni la casa real ven con buenos ojos el nombramiento de trillo como embajador en washington,N
3397,e insisto una vez más @aarbeloaxnumx siempre titular,P
3398,localizado el cuerpo de rodrigo maseda en la playa otro de los héroes policiales de orzán,N
3399,me sigue encantando roberto verino xurlx,P
3400,grandes mis amigos @josederico y el @eltzunamyxnumx numeros xnumx con rayos de sol y ahora con te fuisteproximamente juntos oh yeah,P
3401,la importancia del discurso que #rubalcaba y #chacón pronunciarán el sábado en el congreso @psoe xurlx,P+
3402,revela @jamonago que el marido de @carmechaconxnumx firmaba contratos de publicidad con @gfvara - xurlx vía europa press,P+
3403,también el bueno de rafa nadal es optimizador fiscal como se decía antes no somos nadie xurlx,P
3404,y yo pues bueno ahi ando tb jajaj intentandolo espero que os gustase con el temazo de mis amigos @josederico y @eltzunamyxnumx te fuiste,P+
3405,ministra uruguaya destaca integralidad de la política de vivienda - espanol xurlx xurlx via @upi_esp,P+
3406,la trama de los #eres xurlx,N+
3407,y recordar el dia xnumx de febrero en macumba podeis comprar las entradas en puerta o por antiipados en on ticket xurlx,NONE
3408,algo d paz para las familias rt @europapress_es buceadores localizan el cuerpo dl xnumxr @policia desaparecido en a coruña xurlx,N
3409,feria de la candelera de barbastroxurlx xurlx,NONE
3410,no tanto como las de orbyt @giner datos de hoy las suscripciones digitales de la new york times co crecen un xnumx% xurlx,P
3411,localizado el cuerpo de josé antonio villamor en la playa de riazor el tercero de los héroes de la policía,N
3412,esto se atasca dice el ministro guindos en plena explicación de la reforma financiera se refería al ordenador pero es buena metáfora,N
3413,me encanta recibir un twitt asi jajaj q grandes xurlx,P+
3414,el plan de saneamiento bancario que acaba de presentar guindos es serio y su calendario contundente paso clave para relanzar la economía,P+
3415,breikennius @eitbcomnoticias la marmota phil predice un invierno de seis semanas más #diadelamarmota xurlx,NONE
3416,es una vergüenza que el gobierno andaluz se dedique a ocultar la situación financiera de andalucía xurlx,N+
3417,cascos arremete contra el pp asturiano le preguntaremos en directo sobre esta cuestión @telediariointer xnumx:xnumx,N
3418,;) rt @nino__ninoska colaboremos @laxnumxfm quiero escuchar generación perdida de @alejandrosanz (cont) xurlx,P
3419,suma y sigue del despilfarro andaluz hoy os contamos el último capítulo @telediariointer xnumx:xnumx,N
3420,@iescolar relevante y previsible no,P
3421,entramos ya @telediariointer xnumx:xnumx no somos telesucesos si quiere información con criterio este es su telediario vamos,P
3422,como creéis q acabara ganaremos algo perderemos todo jejjeje #vengava,P
3423,merkel a china irán siria y sobre todo eu xurlx,NONE
3424,la pregunta sobre q haría intereconomia tv cuando ganara el pp incremento de casi xnumx% de la audiencia en gato al agua y telediarios,P+
3425,como todavía no me habéis leído en vozpopuli escribo sobre la europa que pudo ser y no es el link es este --&gt;,N
3426,morenés por lo que veo ha dado mas ruedas de prensa hoy en bruselas que chacón en xnumx años,NEU
3427,fin del ensayo general familia muero de ganas por mostraroslo ;-),P
3428,la vida de brian en la xnumx de tve el frente del pueblo judaico escuadrón de suicidio qué han hecho por nosotros los romanos,N+
3429,guapo @alejandro_vara bien explicado el problemon financiero por parte de @pilarggranja vaya futuro,P
3430,gracias por una noche fantástica en bcna#yeswesapinisdifferent,P+
3431,tanto saneamiento bancario para acabar en un oligopolio de banca privada peor para clientes familias y empresas,N
3432,#tentacionesirresistibles ir a mexico a lo que sea ;) rt @clausdsanz @alejandrosanz hoy es dia de (cont) xurlx,P+
3433,portada de público viernes rubalcaba y chacón buscan los últimos apoyos de guindos lanza su plan xurlx,P
3434,hay dos cosas infinitas el universo y la estupidez humana aunque de la primera tengo dudas einstein,N
3435,#curiosidaddelinsomne dinero público a la banca ayudas a los toros el paro disparado ayer era el día de la marmota no,N+
3436,muy buenas noches followercetes xurlx,P
3437,#tentacionesirresistibles ir a chile sin motivo alguno rt @sanzeras rt @maritesanz @alejandrosanz chilee,P
3438,tambores de guerra usa no descarta que israel ataque irán en primavera vaya manera de empezar el díabuenviernes,N+
3439,esta madrugada he visto en una parada de taxis un montón de chavales con aspecto de volver de marcha y una monja que no de donde vendría,NONE
3440,el gobierno se compromete con una sanidad pública gratuita y universal xurlx (vía @ppopular),P+
3441,hoy me reúno en asturias con familiares de los niños robados luego reunión sobre la oficina del diputado y por la tarde homenaje a otones,NEU
3442,(que conste que he tuiteado lo del chip mamario para no hablar del frío),NONE
3443,empleo dice que la reforma laboral no tocará las prestaciones por desempleo xurlx,P
3444,portada la vanguardia xurlx,NONE
3445,guindos anunciará hoy criterios de gobierno corporativo espero que acaben con la mangancia de los políticos que cobran de las cajas,NEU
3446,en el ave camino de sevilla sobretodo muy agradecido lleno de esperanza y de responsabilidad saldrá bien viva psoe :)) rbcb,P+
3447,telar de hace xnumx años en el colegio del arte mayor de la seda xurlx,P
3448,un nuevo aliciente para comprar los sábados expansion xurlx,P+
3449,#ff de feliz funfleaños para @alejandramarpor un beso muy fuerte y gracias por todo,P+
3450,como siempre buenísimo santiago gonzalez sobre el proceso del psoe xurlx,P+
3451,expectación en torno al lehendakari que llega mudo al #congresopsoe xurlx,NEU
3452,habla la viceconsejera de sanidad de madrid tiene sentido que un enfermo crónico viva gratis del sistema xurlx,NONE
3453,es irónico que el psoe-a que el xnumx-m puede sufrir el mayor batacazo de su historia sea clave para resolver la pugna rubalcaba-chacón,N
3454,el equipo de el pais y politica ya esta instalado en el xnumx congreso del psoe para contarlo todo empieza la función xurlx,P
3455,@estebannavarros @maria_rey rt pliss la casa de enfrente topxnumx amazon bestseller xurlx,P
3456,rt @hermanntertsch rt @joaquin_sevilla descubriendo que subvencionar el cine es de izquierdas los toros de derechas y la ciencia de nadie,NONE
3457,ovación del congreso @psoe a zapatero él manda callar emocionado,P+
3458,empieza el paripé pido propuestas para constituir la mesa del congreso dice marcelino será griñán será griñán anda sí,N
3459,guía para no perderte un segundo del xnumx congreso federal del psoe - abces xurlx via @abc_es,NONE
3460,congreso psoe iglesias no es el orador que necesita el psoe de eso no hay duda,N
3461,@sanchez_sonia @m_bartolome @carolinajmozo @mariagalanc @sonsolesonega @jelenrubio @manusanchezg @estherpalomera lo mismo digo,NONE
3462,silencio la neutralidad activa está en el estrado griñán no se sale del guión saldremosmásfuertes-saldremosmásfuertes-saldremos,NONE
3463,eeuu cierra xnumx webs de streaming para proteger los derechos de la super bowl xurlx (la informacion),NONE
3464,jo jort @mjtorrijos yo oí como susanna le decía seguimos grabando y mañana lo emitimos palabrita del niño jesús,NONE
3465,@manudsxnumx lo de eduardo zaplana como candidato a presidir la corporación de rtve tiene que ser una broma,N
3466,no seríamos #logroñocapitalgastronomica si no es por esto xurlx,NONE
3467,trataran estos problemas en el #xnumxcongresopsoe xurlx,N
3468,grandes predicciones de la historia #xnumxcongresopsoe xurlx,P
3469,xnumx congreso empezamos a dar las respuestas xurlx,P
3470,el gobierno aprueba un salario mínimo para los banqueros cuyos bancos sean intervenidos sólo podrán cobrar xnumx euros,N
3471,el gobierno limita a xnumx euros el salario de directivos de bancos con ayudas y a xnumx si estan intervenidos mas info en rtvees,NONE
3472,el papá de ivan y laura chaves acusa al pp de necesitar la mentira para ganar y para gobernar xurlx vía @elmundoes,N
3473,miguel leiva eres muy grande disfrutando del single nuevo de mi amigo leiva la canción se llama eme os la recomiendo,P+
3474,como empiecen a recortar sueldos de directivos de banca al final hasta nos van a dar pena ayudemos a los directivos con un telemaratón,NEU
3475,a las xnumx en @axnumxnoticias empieza el congreso del psoe sin un ganador claro zapatero da su último discurso como secretario general,NONE
3476,los nuevos valores socialistas la respuesta socialista #xnumxcongresopsoe xurlx,P+
3477,guindos acaba de limitar los sueldos en cajas intervenidas o con ayudas algunos cobraran hasta un xnumx% menos #buenamedida,NEU
3478,hoy un #ff enorme para todos los #bloqueadosxrecio vuestra voz se oye,P+
3479,hoy como cada viernes recomendamos vino #ywsid bcna de la do catalunya clos d agon syrahcabernet franc merlotcabernet-sauvignon,P
3480,con @cansadoxnumx y @josemotatv jugando a batallitas jose y javi nordistas yo atlanta a tope malditos yankees xurlx,NEU
3481,la hora que es y ni un díario he podido leer me pone nerviosa sentirme out,N
3482,@charly_face @alexdelaiglesia @cansadoxnumx @josemotatv pues menos mal q está cansado porque sus va a crujii vivooss :-)ya lo hace,P
3483,menuda cara de tonto se me queda cada viernes voy a la rueda del consejo de ministros y no me dejan preguntar ya ha ocurrido en xnumx de xnumx,N
3484,nuevo logo de derechos humanosque se extienda por el mundo abrazos y feliz viernes xurlx,P+
3485,el discurso de zapatero a punto de comenzar pero ahora delegados y periodistas de lo que hablan es la clavada en xurlx,NONE
3486,público lleva seis ruedas de prensa consecutivas del consejo de ministros sin poder preguntar,N
3487,con la excelente junta directiva de la casa de la caridad de valencia xurlx,P+
3488,@sorayapp perfecto lo estábamos esperando como agua mayo enhorabuena estáis dando en el clavo d los deseos d cambio en españa,P+
3489,zapatero dice q le han dado hasta en la ceja chacón que se siente como messi esquivando patadas de pepeen el xnumx congreso espadas afiladas,N
3490,modesta es @sanchez_sonia me siento como messi esquivando las patadas de pepe chacón pillada por la cámara de @carmenmuelas una crack,N
3491,tic tac tic tac tic tac en xnumx min voy para el auditorio;-),P
3492,zp se explica sin tijeretazo mayo xnumx españa habría caído en el colapso financiero #xnumxcongesopsoe,N
3493,si un marciano escucha el discurso de despedida de zp pensará pero por qué le echan sus compañeros si es el mesías eso es amor propio,NEU
3494,zp dice q ha asumido la derrota a diferencia de otros nosotros no buscamos culpables fuera dice #xnumxcongesopsoe,NEU
3495,aah por dios ya lo he sacado que nervios jaja,P
3496,zapatero asegura que los problemas de la socialdemocracia no están en sus valores sino en el terreno de la xurlx,N
3497,tenía más miga esta otra xurlx hoy no se está largando rt @patxilopez informe de gestión xurlx,N
3498,cataluña y valencia al frente t @pmartind the economist alerta sobre el déficit de las ccaa xurlx vía @el_pais,N
3499,he defendido y dejándome algún girón la autonomía plena del psoe esto va por el grupo prisa y es verdad tímidos aplausos,P
3500,el recorte de sueldos a banqueros con ayudas públicas (en algunos casos supone más de un xnumx%) es una medida a la que no se atrevió el psoe,N
3501,posiblemente rt @juanlusanchez el elogio a bono es en realidad un mensaje para que chacón y rubalcaba no se maten a partir de mañana,N
3502,felipe gonzález sentado entre bono y almunia en #xnumxcongesopsoe escucha a zp,NONE
3503,la ovación más larga y sentida del auditorio ha sido cuando zapatero ha apostado por no volver a ver una muerte a manos del terror de eta,P
3504,plenario en pie larguísimo aplauso a #zp xnumx minutos él muy emocionado fin del discurso #xnumxcongeso,P+
3505,ahora los cabeza de delegación de cada federación socialista intervienen en el pleno a puerta cerrada para xurlx,NONE
3506,xurlx próximo xnumx de febrero es el día internacional contra la utilización de menores soldado,NONE
3507,el hashtag #graciaszp tt en este momento está que arde entre partidarios y detractores de zapatero #xnumxcongresopsoe,N
3508,los independientes de zp y del aparato primer análisis desde el congreso del psoe suspicacia con los cascos azules,NEU
3509,reunión con una delegación de congresistas de estados unidos xurlx,NONE
3510,recuerden que en el sorteo está en juego y antes que salga a la venta la nueva #psvita anotarse acá xurlx,P+
3511,no me parece muy acertado que chacón haga campaña contra rubalcaba dándole caña al real madrid que dejen en paz al club blanco,N
3512,#yeswespainisdifferent bcna;) vamoss;),P
3513,muchas gracias a todos los que hoy nos habéis felicitado por los xnumx años de @xnumxm vuestro cariño nos da fuerzas para seguir innovando,P+
3514,cuánto aplauden a zapatero los mismos que le ponían a escurrir luego irán a karaoke sevillano a cantar eu te pego,NEU
3515,si los xnumx millones d euros d avales a la banca se dieran para avalar proyectos d economía productiva con banca publica habría empleo,N
3516,dios los cria vaya dos rt @r_albiol el camuflado de la foto es el gran pipita higuain xurlx,P
3517,gracias león gran noche,P+
3518,mañana valladolid buenas noches;-),P+
3519,y mañana a las xnumx de la mañana avioncito para ver desfilar a mi niña @jessica_buenoxnumx poquitas horas para verte te amo,P+
3520,enhorabuena @manolocastillo ;-)) ganas de tenerte cerca de nuevo ;-)),P+
3521,hoy juego al tenis con un chavalito al que le estoy enseñando luego os mando foto,P+
3522,gracias bcna;) seguimos disfrutando y mejorando este nuevo #yeswespainisdifferent ;),P+
3523,arteta le puso en el xnumx a claudio torrente xnumx cuando jugaban en glasgow y desde entonces el amiguete me tiene cariño porque le hago reír,P+
3524,ah muy bien a ver si al proximo festival me invitan ;) rt @gvmxnumx @alejandrosanz cantó alex (cont) xurlx,P
3525,bueno mundo bello por hoy desconecto os mando cariño del bueno salud,P
3526,buenos dias en el coche direccion aeropuertoque frio hace en barcelona por dios,N
3527,jajaj de fiesta dice el colgao si acabo de despertarme amigo,NONE
3528,y no olvideis que esta noche estare en sala tropicana en valencia,NONE
3529,y os regalo eta fotito con @josecorbacho grande entre los grandes xurlx,P+
3530,y aqui os dejo amigos abrazottes xurlx,P
3531,empieza en diez minutos el debate en la cadena ser,NONE
3532,el hombre es una máquina de inventar sueños pero en lugar de dedicarse a eso creó el despertador buenos dias,NEU
3533,rt@dirigentes bankia y la caixa las entidades que más provisiones necesitan xurlx #economia #ecofin,N
3534,se supone que el psoe siempre vota contra el aparato eso en teoría beneficia a chacón pero en andalucía y catalunya ella es aparato,NEU
3535,de camino a #mbcfw a disfrutar del desfile de @mayahansen que ganas,P+
3536,feflexión sobre rafa nada era legal lo q hacía para pagar menos impuestos si luego el escándalo no es rafa sino q eso se pudiera hacer,N
3537,rt @fundacionvencer hoy día mundial contra el cáncer recordemos que es una lucha de todos para #vencerelcancer,P
3538,muy recomendacle lucía méndez más tolstoi y menos powerpoint xurlx,P
3539,chacón y los suyos ganan atendiendo al lenguaje corporal los de rubalcaba en cuanto a los razonamientos en privado total ni idea,N
3540,estos son los blogueros y demás prensa especializada xurlx,NONE
3541,se ve a rubalcaba más traquilo que otras veces por comparar recuérden cómo estaba al entrar en el debate con rajoy o ayer mismo,P
3542,después de rechazar liderazgos personales la frase yo seré un lider socialista fuerte a mí no me van a quebrar,P
3543,estas tareas hay que hacerlas desde la unidad recordad cambio y unidad porque resumen el espíritu con el que actuaré como sec general,NONE
3544,odio el sectarismo no soy sectario ni con los que son sectarios ja ja ja el micrófono lo aguanta todo,NEU
3545,lapsus al repetirlo a mí no me van a quebrar a mí no me van a cobrar,P
3546,ahí va el titular sobre las presiones rubalcaba si os dicen que si me apoyáis estaréis en tal o cual lista no lo hacen en mi nombre,NEU
3547,rubalcaba compañeros que reciben llamadas halagos invitaciones () cuántos de estos que os halagan os llamarán el día del cese,P
3548,el pp se fue mintiendo y ha vuelto mintiendo,N
3549,rubalcaba dice que algo de razón tenía botín nos hemos equivocado en no perseguir más a los especuladores ( y en los indultos),N
3550,la política es más fuerte que los mercados hoy debemos reafirmar que el poder de los votos está por encima del poder del dinero,P+
3551,en mi ejecutiva habrá compañeros y compañeras de distintas federaciones y de todas las edades,P
3552,parte del mensaje de rubalcaba más complicada quiere un ejecutiva federal más fuerte con un mensaje único no xurlx,NEU
3553,tenemos que estar en disposición de defender a toda costa los derechos de los ciudadanos los derechos sociales y los derechos civiles,P+
3554,rubalcaba dice ahora que si el pp sigue retrocediendo él planteará revisar acuerdos con la santa sede #xnumxcongresopsoe,N
3555,llegando a casa madre mía lo que viene,NONE
3556,casi una hora exacta de discurso un buen nivel muchas ideas y un resumen rubalcaba quiere cambiar el psoe para xurlx,P
3557,empieza @ahora_chacon está claro,P
3558,es lo que yo pienso -&gt @sgueina empieza el teatro chacón actúa,N
3559,chacón aprovecha su posición de retadora frente al candidato que perdió el xnumx-n necesitamos un cambio de rumbo,N
3560,el mensaje de chacón está bien claro elegir a rubalcaba es aplazar la salida del hoyo lo vocea,N
3561,chacón emula a zapatero en el congreso de su victoria ponernos en pie bla bla bla podemos levantarlo entre todos,P
3562,si chacón gana es urgente que aprenda la diferencia entre hablar con ímpetu y chillar,NEU
3563,campaña profesional,P+
3564,puesta en escena enseña su cartulina del xnumx congreso la enarbola,N
3565,barroso te has pasado de demagogia #xnumxcongresopsoe se te ha ido la mano del revanchismo guerracivilista,N
3566,los que no aplauden en el #xnumxcongresopsoe decidirán,NEU
3567,rt @matrujil los que no aplauden en el #xnumxcongresopsoe decidirán,NEU
3568,qué se le estará pasando x la cabeza a esa generación entera d españoles arruinados x chacón zp y rubalcaba qué pena #xnumxcongresopsoe,N+
3569,+xnumx rt @nuriarocagranel porqué utiliza chacón ese tono a mí la verdad es que esa forma de hablar me parece bastante artificial,N
3570,rt @sorayaheras #xnumxcongresopsoe madre mía esta mujer (chacón) se ha zampado un corral entero lleno de gallos,N
3571,venceremos buen día a enfermos a médicos a todos los luchadores#tengocancer,P+
3572,el ejemplo del irpf es simplificado irreal demagogia mal rollo,N+
3573,anáforas y catáforas,NONE
3574,chacón incide en mensajes más de izquierdas también en la línea impositiva que paguen ya igual las rentas de xurlx,N
3575,me pregunto quién habrá filtrado ese bulo de q eduardo zaplana es candidato a presidir rtve vendrá del psoe o del pp del todo falso,N
3576,taza y media de laicismo excluyente de chacón que ahora carga contra la derecha prepotente alemana que tiemble merkel,N
3577,chacón promete mantener ls diputaciones(como rajoy) para conseguir votos en el congreso de todos los enchufados en ls diputaciones patético,N+
3578,suso de toro está levitando,NONE
3579,conclusión del infantil speech d @carmechaconxnumx esta sra no tiene ni idea de cómo está españa no se ha enterado todavía d la película,N
3580,foto de @evelyncsxnumx gracias me ha encantado xurlx,P+
3581,interesante debate sobre asia pacificoen particular la visión de australia y chinade asia pacifico los dos con valores diferentes,P+
3582,he anunciado en córdoba el plan @ndaluz@s @ctivas para incentivar contratación estable de mujeres y medidas para vuelta al mercado laboral,P+
3583,llegando;-) xurlx,P
3584,chacón o rubalcaba nevada histórica en mallorca vencer al cáncer el día + cruel d la represión en siria a las xnumxh en @informativostxnumx,N
3585,hoy en el día mundial contra el #cáncer mucha fuerza a los que luchan mas prevención y educación para la salud y mas fondos para investigar,P
3586,@fgarea el congreso de dentro de dos semanas será un apasionante debate de ideas con enorme recorrido te cabe alguna duda #ironia,N
3587,gane quien gane pierde el psoe y españa el psoe necesita una renovación mas profunda,N
3588,a punto de rdo #xnumxcongresopsoe,NONE
3589,me dice azahara sánchez qcel retraso se debe al debate sb procedimiento de recuento pero seguimos esperando #xnumxcongresopsoe,N
3590,es horrible @antonio_cano_ sí ya comprendo q la gente en españa está pendiente de otra cosa pero a mí me interesa más lo de siria,NEU
3591,alguien sabe por qué pedroj apoya a chacón,P
3592,rubalcabistas ya tuitean que ha ganado rubalcaba,P+
3593,rt @carloscungria dicen que gana rubalcaba falta la confirmación oficial #xnumxcongresopsoe,P
3594,parece q algunos dicen q se ha pedido un nuevo recuento horrorr #xnumxcongresopsoe,N+
3595,xnumx de diferencia a favor de rubalcaba,P+
3596,bueno pues rubalcaba por xnumx,P+
3597,ahora q trabajito rt @europapress_es rubalcaba elegido nuevo secretario general del psoe #xnumxcongresopsoe - xurlx -,P
3598,ahora a organizar equipos quién será el portavoza parlamentarioa,NONE
3599,@iescolar @alexdelaiglesia voy a intentar enterarme ;-) you re the boss,P
3600,solo han tenido que poner el nombre del ganador el pp ha enviado ya de forma inmediata su felicitación al nuevo sec gral del psoe,P
3601,dos besos entre rubalcaba y chacón muchos aplausos para él #xnumxcongresopsoe,P+
3602,@crisdejuan una preguntarubalcaba y chacónse caerán bien ella sí se ha caído bien,N
3603,en el psc algunos van a tener la tentación de decir que chacón ha perdido por ser catalana,N
3604,@conchaclc @maria_rey esos van aparte rubalcaba xnumx chacón xnumx nien correido,NEU
3605,rubalcaba breve partido fuerte a trabajar unidad y cambio #xnumxcongresopsoe,P+
3606,de la nuetralidad activa al ostracismo pasivort @jjblanesmalaga y griñan madre mía que papelón,N
3607,desde múnich también trabajando alfredoenhorabuenatambién a ti carmen que has peleado,P+
3608,ovación en la sala de prensa al compañero que ha bajado el volumen a la tele con la sintonía del psoe (versión lounge) a toda hostia,P
3609,hoy dos gunciones de #yeswespainisdifferent en bcna vamos a por la xnumxa;)),P+
3610,puede ser rt @balermaxnumx @mariviromero @psoemalaga tuitearán tras las elecciones andaluzas a favor de @javierarenas_pp #quecosas,P
3611,ahora no lo ha anulado @athleticbilbao xnumx-xnumx,P
3612,no he dicho que el resultado del congreso fuera previsible he repetido lo ya apuntado en @edchrne que rubalcaba no se inmolaría sin más,N
3613,joder con perdón xnumx-xnumx,N
3614,una cosa es jugar xnumx y otra un equipo de xnumx,N
3615,les comparto xurlx,NONE
3616,@julia_otero @sgueina @raquelmartos jope no pretendía,N
3617,k pedazo d golazo del crack ramosbauer :)),P+
3618,cuando hablo d listas públicas me refiero a listas q pudiera pedir al juez una mujer q estuviera siendo maltratada su pareja ya maltrató,N
3619,rusia y china ya hicieron lo mismo con irak entonces les acompañó francia,NONE
3620,rt@esther__vlc me encanta aguirre a gómez tiemblo por esos alumnos que le tienen a usted como profesor pobrecillos xurlx,NEU
3621,es un gran honor para mí iniciar esta etapa como líder del psoe espero corresponder a vuestro apoyo y confianza gracias y a trabajarrbcb,P+
3622,@julia_otero @maria_rey seguras el @psoe dice xnumx xnumx xnumx y xnumx,NONE
3623,@javierarenas_pp la primera reforma gorda que necesita la junta es decir la verdad xurlx,N
